dteday,mnth,hr,holiday,workingday,weathersit,temp,hum,windspeed,cnt,isWorking,monthCount,dayWeek,workTime,xformHr,xformWorkHr
2011-01-01T02:00:00Z,1,0,0,0,1,-1.3346091869412824,0.9473452433308964,-1.5538438052971004,16,0,1,6,24,19,43
2011-01-01T03:00:00Z,1,1,0,0,1,-1.4384750099034227,0.8955129279786789,-1.5538438052971004,40,0,1,6,25,20,44
2011-01-01T04:00:00Z,1,2,0,0,1,-1.4384750099034227,0.8955129279786789,-1.5538438052971004,32,0,1,6,26,21,45
2011-01-01T05:00:00Z,1,3,0,0,1,-1.3346091869412824,0.6363513512175913,-1.5538438052971004,13,0,1,6,27,22,46
2011-01-01T06:00:00Z,1,4,0,0,1,-1.3346091869412824,0.6363513512175913,-1.5538438052971004,1,0,1,6,28,23,47
2011-01-01T07:00:00Z,1,5,0,0,2,-1.3346091869412824,0.6363513512175913,-0.8214600175171927,1,0,1,6,29,0,24
2011-01-01T08:00:00Z,1,6,0,0,1,-1.4384750099034227,0.8955129279786789,-1.5538438052971004,2,0,1,6,30,1,25
2011-01-01T09:00:00Z,1,7,0,0,1,-1.5423408328655626,1.2065068200919833,-1.5538438052971004,3,0,1,6,31,2,26
2011-01-01T10:00:00Z,1,8,0,0,1,-1.3346091869412824,0.6363513512175913,-1.5538438052971004,8,0,1,6,32,3,27
2011-01-01T11:00:00Z,1,9,0,0,1,-0.919145895092722,0.6881836665698089,-1.5538438052971004,14,0,1,6,33,4,28
2011-01-01T12:00:00Z,1,10,0,0,1,-0.6075484262063017,0.6881836665698089,0.5198812723788213,36,0,1,6,34,5,29
2011-01-01T13:00:00Z,1,11,0,0,1,-0.7114142491684419,0.9473452433308964,0.7642816658455542,56,0,1,6,35,6,30
2011-01-01T14:00:00Z,1,12,0,0,1,-0.39981678028202156,0.7400159819220263,0.7642816658455542,84,0,1,6,36,7,31
2011-01-01T15:00:00Z,1,13,0,0,2,-0.1920851343577412,0.48085440516093886,0.8860731662687753,94,0,1,6,37,8,32
2011-01-01T16:00:00Z,1,14,0,0,2,-0.1920851343577412,0.48085440516093886,0.7642816658455542,106,0,1,6,38,9,33
2011-01-01T17:00:00Z,1,15,0,0,2,-0.29595095731988136,0.7400159819220263,0.8860731662687753,110,0,1,6,39,10,34
2011-01-01T18:00:00Z,1,16,0,0,2,-0.39981678028202156,0.9991775586831133,0.8860731662687753,93,0,1,6,40,11,35
2011-01-01T19:00:00Z,1,17,0,0,2,-0.29595095731988136,0.9991775586831133,0.7642816658455542,67,0,1,6,41,12,36
2011-01-01T20:00:00Z,1,18,0,0,3,-0.39981678028202156,1.3101714507964184,0.5198812723788213,35,0,1,6,42,13,37
2011-01-01T21:00:00Z,1,19,0,0,3,-0.39981678028202156,1.3101714507964184,0.5198812723788213,37,0,1,6,43,14,38
